"timestamp"	"Mean"	"Median"	"95th percentile"	"99th Percentile"
2015-05-06	24963	426	1036	1720
2015-05-05	472	390	937	1496
2015-05-07	3363	431	1146	2108
2015-05-08	538	423	1068	1895.14
2015-05-11	605	448	1271.7	2539.18
2015-05-16	602	481	1233.2	2092.76
2015-05-12	521	422	1069	1606.18
2015-05-10	549	448	1223.6	2016.3
2015-05-14	647	437	1383.7	3011.08
2015-05-09	550	440	1093.06	1893.74
2015-05-15	511	410	1105.2	1517.84
2015-05-13	587	476	1229.5	2259
2015-05-17	521	469	989.88	1752.56
2015-05-20	609	536	993.24	1555.78
2015-05-21	510	410	1141	1434.8
2015-05-19	549	404	1089.68	2380
2015-05-18	506	490	1002.28	1460.12
2015-05-22	675	493	1843.6	2699.8
