"timestamp"	"Mean"	"Median"	"95th percentile"	"99th Percentile"
2015-04-29	269	187	570	812
2015-04-16	286	205	621	923.5
2015-04-28	247	188	586	852
2015-04-18	360	203	597	858
2015-04-21	264	186	564	792
2015-04-26	257	200	581	817
2015-04-27	450	192	570	797.559999999998
2015-04-19	275	199	578	812
2015-04-20	311	183	563	809
2015-05-06	310	205	597.400000000001	872.599999999999
2015-04-24	261	188	574	828
2015-05-03	257	202	582	839
2015-05-07	278	219	613	888.82
2015-05-02	277	202	591	850
2015-04-30	314	200	595	834.02
2015-05-01	3129	191	581	827
2015-04-17	269	207	622	901
2015-05-04	320	186	565.220000000001	799.479999999996
2015-05-05	246	182	577	818
2015-04-23	256	187	577	827
2015-05-08	578	218	603	846.619999999999
2015-04-25	276	203	586.34	838.779999999999
2015-05-09	285	236	614	838.5
2015-04-22	286	190	570	817.839999999997
2015-04-15	299	201	636.2	807.599999999999
2015-04-14	258	210	435.5	603
