"timestamp"	"action"	"events"
2014-11-25	"Result pages opened"	14
2014-11-25	"search sessions"	17
2014-11-26	"search sessions"	9
2014-11-25	"clickthroughs"	6
2014-11-26	"Result pages opened"	7
2014-11-26	"clickthroughs"	1
2014-12-01	"search sessions"	1
2014-12-01	"Result pages opened"	3
2014-12-02	"Result pages opened"	12178
2014-12-02	"clickthroughs"	2905
2014-12-02	"search sessions"	3185
2014-12-03	"clickthroughs"	5228
2014-12-03	"search sessions"	5708
2014-12-03	"Result pages opened"	21897
2014-12-04	"Result pages opened"	22686
2014-12-04	"search sessions"	5936
2014-12-04	"clickthroughs"	5437
2014-12-05	"clickthroughs"	5500
2014-12-05	"search sessions"	6037
2014-12-05	"Result pages opened"	22749
2014-12-06	"search sessions"	7331
2014-12-06	"Result pages opened"	29137
2014-12-06	"clickthroughs"	6732
2014-12-07	"search sessions"	8601
2014-12-07	"Result pages opened"	33039
2014-12-07	"clickthroughs"	7876
2014-12-08	"search sessions"	7110
2014-12-08	"Result pages opened"	26330
2014-12-08	"clickthroughs"	6491
2014-12-09	"search sessions"	7032
2014-12-09	"Result pages opened"	26712
2014-12-09	"clickthroughs"	6363
2014-12-10	"Result pages opened"	27254
2014-12-10	"clickthroughs"	6346
2014-12-10	"search sessions"	6980
2014-12-11	"Result pages opened"	26989
2014-12-11	"clickthroughs"	6243
2014-12-11	"search sessions"	6824
2014-12-12	"search sessions"	7477
2014-12-12	"Result pages opened"	29098
2014-12-12	"clickthroughs"	6819
2014-12-13	"search sessions"	8787
2014-12-13	"Result pages opened"	35957
2014-12-13	"clickthroughs"	8025
2014-12-14	"Result pages opened"	37700
2014-12-14	"clickthroughs"	8330
2014-12-14	"search sessions"	9109
2014-12-15	"Result pages opened"	30488
2014-12-15	"clickthroughs"	7018
2014-12-15	"search sessions"	7701
2014-12-16	"search sessions"	7957
2014-12-16	"Result pages opened"	30928
2014-12-16	"clickthroughs"	7239
2014-12-17	"Result pages opened"	30665
2014-12-17	"search sessions"	7766
2014-12-17	"clickthroughs"	7083
2014-12-18	"Result pages opened"	30650
2014-12-18	"clickthroughs"	7114
2014-12-18	"search sessions"	7825
2014-12-19	"Result pages opened"	29565
2014-12-19	"clickthroughs"	6819
